onset	duration	trial_type
119.1895658778958	0	occlusion_start
419.3126339739538	0	occlusion_stop
1037.5155426046404	0	MVC
1112.286806858232	0	MVC
1186.4080601212336	0	MVC
1424.946093389386	0	Con30
1565.2184651541174	0	Con30
1728.7392300092033	0	Con30
1963.8512053486193	0	Con50
2095.133425105334	0	Con50
2225.6896325864072	0	Con50
2457.637554427114	0	MVC
