Subject;Session;Contraction_Mode;Intensity;Mean_HbR_uM;Mean_HbO_uM;Mean_HbDiff_uM;Mean_HbTot_uM
016;001;Concentric;30%;-0,23329679719510776;-1,4851769787332305;-1,2518801815381229;-1,718473775928338
016;001;Concentric;50%;-1,796025891319542;-5,82306663693162;-4,027040745612077;-7,619092528251161
016;002;Eccentric;30%;-0,5945212534658572;0,08363009683098398;0,6781513502968411;-0,5108911566348732
016;002;Eccentric;50%;-1,2276975588970906;-0,5952017543324976;0,6324958045645932;-1,8228993132295883
017;001;Eccentric;30%;0,03450483610875258;-1,721079553605439;-1,7555843897141916;-1,6865747174966865
017;001;Eccentric;50%;-0,18442849602236913;-1,3309365906590607;-1,1465080946366915;-1,5153650866814299
017;002;Concentric;30%;-0,8988394067945181;-2,2823456740872587;-1,3835062672927407;-3,1811850808817774
017;002;Concentric;50%;-1,2593389482283832;-3,3010796948742627;-2,0417407466458797;-4,560418643102645
018;001;Concentric;30%;0,005861563661011079;0,17473936658952424;0,16887780292851315;0,18060093025053534
018;001;Concentric;50%;0,25918865137763253;0,505293783150652;0,24610513177301951;0,7644824345282846
018;002;Eccentric;30%;-0,7579831578302496;-1,4189352373568094;-0,6609520795265599;-2,1769183951870588
018;002;Eccentric;50%;-0,7718055203202822;-1,4151912571003666;-0,6433857367800843;-2,186996777420649
019;001;Eccentric;30%;-0,5100745875247079;0,25049825308021006;0,7605728406049179;-0,25957633444449785
019;001;Eccentric;50%;-0,4678380066911467;0,6879893770857605;1,1558273837769073;0,22015137039461377
019;002;Concentric;30%;-0,1356973665629727;-0,17210164765144728;-0,036404281088474565;-0,30779901421441996
019;002;Concentric;50%;-0,37286153381921344;0,19130088586125682;0,5641624196804703;-0,18156064795795665
020;001;Concentric;30%;0,5567610430603757;-0,6145604741269048;-1,1713215171872806;-0,05779943106652916
020;001;Concentric;50%;0,5439484635722537;-0,5077759856555705;-1,0517244492278242;0,036172477916683134
020;002;Eccentric;30%;-0,3290372054482058;0,5436593131122284;0,8726965185604342;0,21462210766402254
020;002;Eccentric;50%;-0,16810550917029074;0,6652381746357368;0,8333436838060275;0,49713266546544616
021;001;Concentric;30%;-0,5929226398030552;-1,2959835048937782;-0,703060865090723;-1,8889061446968336
021;001;Concentric;50%;-0,7155088633127141;-1,3072583463573706;-0,5917494830446562;-2,0227672096700844
021;002;Eccentric;30%;-1,3893376740822443;-2,887599597245263;-1,4982619231630192;-4,276937271327507
021;002;Eccentric;50%;-1,4773297302500181;-2,699868415477031;-1,2225386852270128;-4,17719814572705
022;001;Eccentric;30%;0,43088770855873765;0,9790628692198072;0,5481751606610696;1,409950577778545
022;001;Eccentric;50%;0,22122418464773239;0,5134388230000335;0,29221463835230116;0,7346630076477659
022;002;Concentric;30%;-0,2232333943191099;-0,38913797534365574;-0,1659045810245459;-0,6123713696627656
022;002;Concentric;50%;-0,07849317047741475;-0,09603227452538976;-0,017539104047975002;-0,1745254450028045
023;001;Concentric;30%;-2,675188586102918;-6,434772554161203;-3,7595839680582834;-9,10996114026412
023;001;Concentric;50%;-2,8293660389434963;-6,319602739959724;-3,490236701016228;-9,148968778903223
023;002;Eccentric;30%;-1,3418688964806023;-1,7622479846119397;-0,42037908813133734;-3,104116881092542
023;002;Eccentric;50%;-1,5160582539179774;-1,5758626476280675;-0,05980439371008998;-3,091920901546045
024;001;Concentric;30%;-0,6392915695616915;-0,651931966202233;-0,01264039664054147;-1,2912235357639246
024;001;Concentric;50%;-0,7325920727839664;-0,28788376773417285;0,4447083050497937;-1,0204758405181393
024;002;Eccentric;30%;-0,875549283743999;-0,14331249671193255;0,7322367870320665;-1,0188617804559315
024;002;Eccentric;50%;-2,687067027517232;-6,0722472918115855;-3,3851802642943536;-8,759314319328817
