Subject;Session;Contraction_Mode;Intensity;Mean_HbR_uM;Mean_HbO_uM;Mean_HbDiff_uM;Mean_HbTot_uM
20;1;Concentric;30%;-0,261522538;0,049221163;0,3107437;-0,212301375
20;1;Concentric;50%;-0,603584249;-0,010034175;0,593550074;-0,613618424
20;2;Eccentric;30%;-0,093609754;-0,116301219;-0,022691464;-0,209910973
20;2;Eccentric;30%;;;;
20;2;Eccentric;50%;;;;
21;1;Concentric;30%;-0,02054805;0,119358695;0,139906745;0,098810646
21;1;Concentric;50%;-0,077923765;0,192623514;0,270547279;0,114699748
21;2;Eccentric;30%;-0,000519188;0,000172257;0,000691445;-0,000346931
21;2;Eccentric;50%;0,0933969;0,617760259;0,524363359;0,711157159
22;1;Eccentric;30%;-0,381806289;0,356570413;0,738376703;-0,025235876
22;1;Eccentric;50%;-0,398974625;0,446478301;0,845452926;0,047503676
22;2;Concentric;30%;0,833688482;-1,736110562;-2,569799044;-0,90242208
22;2;Concentric;50%;0,887425705;-2,063690442;-2,951116147;-1,176264736
23;1;Concentric;30%;1,804556514;-3,293954372;-5,098510886;-1,489397858
23;1;Concentric;50%;1,837442485;-2,62067869;-4,458121174;-0,783236205
23;2;Eccentric;30%;0,473907185;-0,87015097;-1,344058154;-0,396243785
23;2;Eccentric;50%;0,546347537;-0,394157778;-0,940505315;0,152189759
24;1;Concentric;30%;0,003396177;-1,771722864;-1,775119041;-1,768326688
24;1;Concentric;50%;0,485418217;-3,880566537;-4,365984754;-3,39514832
24;2;Eccentric;30%;0,209161182;-0,984594934;-1,193756117;-0,775433752
24;2;Eccentric;50%;-0,056208468;-1,93522033;-1,879011862;-1,991428799
